County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent
Monterey County,CA,63732.0,15.3,60047.0,435.1415259,45.0,94.0,706.0,1021.0,2912.0,5612.0,1774.0,64.0,428826.0,1054.0,1016.0
Napa County,CA,13960.0,10.1,72683.0,345.6237618,2.0,30.0,71.0,382.0,658.0,1895.0,310.0,11.0,140326.0,1474.0,1395.0
Nevada County,CA,12137.0,12.4,57627.0,215.9336288,0.0,1.0,4.0,14.0,61.0,120.0,9.0,5.0,8799.0,1414.0,1402.0
Orange County,CA,398428.0,12.7,78002.0,58.79301401,1.0,7.0,1.0,8.0,192.0,238.0,18.0,10.0,28915.0,991.0,772.0
Placer County,CA,32093.0,8.6,76203.0,185.130231,2.0,50.0,140.0,488.0,1601.0,4696.0,578.0,37.0,367309.0,1195.0,937.0
Plumas County,CA,2503.0,13.8,46813.0,572.6708733,0.0,15.0,1.0,92.0,143.0,271.0,23.0,0.0,18859.0,0.0,0.0
Riverside County,CA,377244.0,16.2,57895.0,304.8627551,76.0,322.0,2349.0,4242.0,19105.0,39880.0,9191.0,241.0,2292507.0,1680.0,1469.0
Sacramento County,CA,250325.0,16.9,58735.0,547.6937429,79.0,383.0,2560.0,4986.0,11383.0,28679.0,8416.0,244.0,1462131.0,1084.0,1023.0
San Benito County,CA,5454.0,9.3,76521.0,376.7361111,1.0,15.0,33.0,168.0,357.0,562.0,104.0,12.0,57600.0,1657.0,1124.0
San Bernardino County,CA,394031.0,18.9,53526.0,432.4902041,102.0,422.0,2923.0,5585.0,18788.0,32802.0,11509.0,367.0,2088371.0,1152.0,1182.0
San Diego County,CA,445948.0,13.9,67053.0,368.6724057,107.0,692.0,3200.0,7840.0,14076.0,43412.0,12136.0,346.0,3211252.0,1348.0,1289.0
San Joaquin County,CA,124606.0,17.5,53341.0,887.1644385,89.0,152.0,1992.0,4016.0,8019.0,16847.0,4398.0,158.0,704379.0,0.0,0.0
San Luis Obispo County,CA,38448.0,14.4,61761.0,327.7348314,6.0,69.0,78.0,753.0,1568.0,4266.0,418.0,87.0,276443.0,2282.0,2805.0
San Mateo County,CA,63663.0,8.4,101133.0,235.3577129,10.0,105.0,504.0,1140.0,3259.0,9543.0,1563.0,84.0,747373.0,2440.0,2362.0
Santa Barbara County,CA,66475.0,15.6,63049.0,377.0969275,6.0,146.0,311.0,1180.0,2430.0,6933.0,801.0,54.0,435697.0,1659.0,1594.0
Santa Clara County,CA,156430.0,8.3,102191.0,265.4076897,55.0,402.0,1639.0,2846.0,8940.0,28055.0,10997.0,312.0,1862041.0,1889.0,1801.0
Santa Cruz County,CA,40480.0,15.4,64841.0,113.3253507,1.0,0.0,13.0,39.0,191.0,490.0,72.0,0.0,46768.0,1260.0,1125.0
Shasta County,CA,33556.0,19.0,45943.0,725.2206951,7.0,97.0,165.0,1029.0,1754.0,3623.0,903.0,35.0,178980.0,1078.0,1041.0
Sierra County,CA,405.0,13.8,47535.0,388.8696854,1.0,3.0,1.0,40.0,86.0,184.0,21.0,0.0,11572.0,509.0,493.0
Siskiyou County,CA,9725.0,22.6,37447.0,237.4483436,5.0,12.0,13.0,74.0,240.0,505.0,74.0,2.0,43799.0,931.0,837.0
Solano County,CA,50972.0,12.0,67202.0,434.5697148,28.0,115.0,659.0,1044.0,4322.0,6435.0,2433.0,118.0,424788.0,1479.0,1547.0
Sonoma County,CA,54563.0,11.0,66463.0,362.0019191,4.0,152.0,232.0,1404.0,1826.0,5982.0,706.0,62.0,495025.0,1621.0,1522.0
Stanislaus County,CA,103646.0,19.5,51949.0,547.107372,38.0,129.0,788.0,1920.0,5551.0,12425.0,4085.0,117.0,525491.0,1116.0,1164.0
Sutter County,CA,16721.0,17.5,50810.0,333.508128,5.0,26.0,45.0,242.0,758.0,1786.0,288.0,15.0,95350.0,1017.0,912.0
Tehama County,CA,14073.0,22.5,40292.0,561.3968314,3.0,17.0,36.0,298.0,451.0,896.0,160.0,5.0,63057.0,1055.0,1042.0
Trinity County,CA,2523.0,19.7,37669.0,132.0086153,1.0,1.0,1.0,16.0,71.0,112.0,10.0,1.0,14393.0,843.0,741.0
Tulare County,CA,123922.0,27.2,42637.0,462.4094173,33.0,115.0,412.0,1540.0,4364.0,9194.0,1835.0,39.0,454143.0,717.0,687.0
Tuolumne County,CA,7305.0,14.5,53136.0,194.8992093,0.0,15.0,16.0,74.0,468.0,637.0,85.0,25.0,53874.0,781.0,918.0
Ventura County,CA,83389.0,9.9,79285.0,198.1848932,21.0,100.0,617.0,926.0,3113.0,11404.0,1404.0,128.0,839620.0,1922.0,1827.0
Yolo County,CA,35877.0,17.5,58766.0,271.7590533,0.0,71.0,162.0,323.0,1312.0,4122.0,522.0,106.0,204593.0,1142.0,1045.0
Yuba County,CA,15813.0,21.6,46500.0,388.6010363,6.0,27.0,39.0,213.0,612.0,1148.0,253.0,27.0,73340.0,1530.0,1579.0
Adams County,CO,61980.0,12.8,62991.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2360.0,772.0,690.0
Alamosa County,CO,3658.0,24.0,40067.0,178.4285978,0.0,3.0,3.0,22.0,52.0,226.0,15.0,3.0,16253.0,645.0,625.0
Arapahoe County,CO,57651.0,9.2,67062.0,297.9886998,22.0,265.0,552.0,970.0,2879.0,11787.0,1348.0,110.0,607070.0,1544.0,2038.0
Archuleta County,CO,1607.0,13.1,50361.0,196.8181073,0.0,3.0,1.0,20.0,65.0,125.0,8.0,3.0,12194.0,1000.0,817.0
Baca County,CO,733.0,20.8,35405.0,135.7957632,0.0,0.0,0.0,5.0,2.0,10.0,0.0,0.0,3682.0,526.0,496.0
Bent County,CO,1473.0,36.7,36630.0,246.1322082,0.0,0.0,1.0,13.0,37.0,50.0,2.0,0.0,5688.0,697.0,737.0
Boulder County,CO,38046.0,12.3,72392.0,169.0060894,0.0,66.0,97.0,361.0,1106.0,5226.0,291.0,106.0,310048.0,0.0,0.0
Cheyenne County,CO,208.0,11.7,50620.0,89.18838569,2.0,0.0,0.0,7.0,16.0,84.0,3.0,0.0,10091.0,623.0,586.0
Clear Creek County,CO,880.0,9.6,67262.0,265.7513011,0.0,1.0,1.0,22.0,30.0,108.0,11.0,8.0,9031.0,871.0,871.0
Costilla County,CO,1011.0,28.2,27944.0,170.5514497,0.0,0.0,0.0,6.0,8.0,1.0,4.0,0.0,3518.0,343.0,298.0
Crowley County,CO,1331.0,44.3,35405.0,206.6892146,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,5322.0,568.0,571.0
Custer County,CO,648.0,15.1,43995.0,23.5349494,0.0,1.0,0.0,0.0,9.0,19.0,1.0,1.0,4249.0,612.0,539.0
Delta County,CO,4633.0,15.8,42586.0,104.9765443,0.0,4.0,5.0,24.0,98.0,446.0,28.0,10.0,30483.0,579.0,387.0
Dolores County,CO,294.0,14.9,44829.0,49.28536225,0.0,0.0,0.0,1.0,15.0,11.0,0.0,0.0,2029.0,910.0,804.0
Douglas County,CO,10917.0,3.4,109926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,378.0,235.0
Eagle County,CO,4030.0,7.6,75191.0,171.5592833,2.0,18.0,4.0,66.0,116.0,704.0,18.0,11.0,52460.0,1242.0,1131.0
Elbert County,CO,1456.0,5.9,90270.0,46.34896558,0.0,1.0,1.0,9.0,39.0,66.0,3.0,0.0,23733.0,907.0,822.0
El Paso County,CO,72201.0,11.0,60050.0,379.058506,20.0,448.0,566.0,1449.0,4680.0,14760.0,2068.0,117.0,655044.0,717.0,739.0
Fremont County,CO,6613.0,17.2,41967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7080.0,683.0,634.0
Garfield County,CO,5909.0,10.3,64487.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1290.0,671.0,648.0
Gilpin County,CO,460.0,8.0,67389.0,357.079093,0.0,3.0,0.0,16.0,28.0,185.0,9.0,0.0,5601.0,0.0,0.0
Grand County,CO,1209.0,8.3,59885.0,34.99195185,0.0,1.0,1.0,3.0,6.0,39.0,0.0,0.0,14289.0,0.0,0.0
Gunnison County,CO,1892.0,12.5,47619.0,309.5376282,0.0,5.0,2.0,41.0,35.0,260.0,13.0,0.0,15507.0,1555.0,1612.0
Jackson County,CO,189.0,13.9,46905.0,22.34304014,0.0,1.0,0.0,1.0,29.0,28.0,7.0,0.0,13427.0,574.0,573.0
Jefferson County,CO,44068.0,7.9,71209.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,2.0,0.0,7560.0,1346.0,1359.0
Kiowa County,CO,195.0,13.9,42108.0,39.63535474,0.0,0.0,0.0,1.0,15.0,15.0,4.0,0.0,2523.0,447.0,424.0
Kit Carson County,CO,881.0,12.2,44090.0,286.176434,0.0,4.0,0.0,19.0,15.0,84.0,7.0,0.0,8037.0,718.0,661.0
Lake County,CO,1155.0,15.7,45913.0,41.47656574,1.0,2.0,0.0,2.0,15.0,72.0,5.0,0.0,12055.0,937.0,453.0
La Plata County,CO,4993.0,9.4,60732.0,182.0433901,2.0,9.0,8.0,79.0,148.0,647.0,34.0,7.0,53284.0,1164.0,1253.0
Larimer County,CO,39648.0,12.2,64935.0,225.6414801,3.0,87.0,75.0,548.0,1098.0,6270.0,252.0,52.0,315988.0,1487.0,1385.0
Las Animas County,CO,2552.0,19.3,38858.0,124.6019659,0.0,1.0,7.0,10.0,41.0,121.0,5.0,0.0,14446.0,525.0,524.0
Lincoln County,CO,874.0,19.4,43188.0,0.0,0.0,0.0,0.0,0.0,12.0,26.0,3.0,0.0,3147.0,0.0,0.0
Logan County,CO,2908.0,15.5,46306.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,1946.0,523.0,549.0
Mesa County,CO,20326.0,14.1,51449.0,317.1720184,5.0,108.0,44.0,311.0,573.0,3456.0,262.0,35.0,147554.0,1260.0,1280.0
Mineral County,CO,68.0,9.4,50481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,721.0,615.0,599.0
Montezuma County,CO,4994.0,19.3,42975.0,230.0912565,1.0,1.0,5.0,52.0,60.0,326.0,25.0,1.0,25642.0,386.0,277.0
Montrose County,CO,7185.0,17.7,46860.0,176.8476899,2.0,4.0,3.0,63.0,203.0,680.0,47.0,5.0,40713.0,747.0,721.0
Morgan County,CO,3350.0,12.1,49087.0,19.65988401,0.0,1.0,0.0,1.0,7.0,36.0,2.0,1.0,10173.0,449.0,460.0
Otero County,CO,3684.0,20.6,34970.0,181.7890178,0.0,7.0,3.0,24.0,98.0,203.0,10.0,2.0,18703.0,583.0,663.0
