County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Gilliam County,OR,0.216,0.27,Very Low,0.0,0.283,0.839,-120.185908,23.7
Grant County,OR,0.295,0.196,Very Low,0.001,0.187,0.74,-90.97229,18.4
Harney County,OR,0.293,0.171,Very Low,0.001,0.17,0.768,-119.061393,17.9
Hood River County,OR,0.184,0.299,Very Low,0.002,0.504,0.851,-121.566214,39.9
Jackson County,OR,0.361,0.213,Very Low,0.001,0.162,0.562,-81.708811,15.4
Jefferson County,OR,0.42,0.189,Very Low,0.001,0.379,0.579,-77.810685,38.2
Josephine County,OR,0.42,0.172,Very Low,0.008,0.346,0.717,-123.39293,36.4
Klamath County,OR,0.375,0.189,Very Low,0.007,0.181,0.7,-121.60085,18.2
Lake County,OR,0.345,0.165,Very Low,0.001,0.264,0.791,-97.215415,28.2
Lane County,OR,0.355,0.236,Very Low,0.0,0.28,0.788,-123.116207,25.2
Lincoln County,OR,0.309,0.177,Very Low,0.0,0.0,0.736,-110.900716,0.0
Linn County,OR,0.282,0.241,Very Low,0.012,0.156,0.807,-122.824277,13.9
Malheur County,OR,0.489,0.143,Very Low,0.003,0.175,0.787,-116.976018,19.8
Marion County,OR,0.305,0.279,Very Low,0.001,0.175,0.59,-80.220774,14.4
Morrow County,OR,0.264,0.3,Very Low,0.003,0.235,0.85,-119.820642,18.6
Multnomah County,OR,0.28,0.348,Low,0.076,0.307,0.852,-122.649971,22.3
Polk County,OR,0.234,0.315,Very Low,0.0,0.224,0.844,-92.634675,17.2
Sherman County,OR,0.293,0.277,Very Low,0.0,0.197,0.455,-102.073915,16.3
Tillamook County,OR,0.275,0.214,Very Low,0.002,0.205,0.858,-123.887169,19.4
Umatilla County,OR,0.359,0.254,Very Low,0.008,0.156,0.871,-118.500938,13.5
Union County,OR,0.298,0.228,Very Low,0.001,0.145,0.452,-83.806439,13.4
Wallowa County,OR,0.289,0.205,Very Low,0.001,0.148,0.841,-117.215248,14.3
Wasco County,OR,0.286,0.216,Very Low,0.003,0.284,0.854,-121.162338,26.8
Washington County,OR,0.161,0.461,Very Low,0.002,0.247,0.761,-88.047646,14.9
Wheeler County,OR,0.409,0.109,Very Low,0.0,0.162,0.828,-120.214649,20.2
Yamhill County,OR,0.225,0.29,Very Low,0.01,0.215,0.832,-123.484807,17.4
Adams County,PA,0.116,0.366,Very Low,0.0,0.218,0.965,-103.6106598,15.3
Allegheny County,PA,0.2,0.306,Low,0.123,0.222,0.628,-79.796071,17.4
Armstrong County,PA,0.209,0.214,Very Low,0.0,0.199,0.648,-79.531209,18.9
Beaver County,PA,0.22,0.264,Very Low,0.001,0.223,0.663,-111.9796548,19.0
Bedford County,PA,0.239,0.224,Very Low,0.007,0.12,0.501,-79.725502,11.1
Berks County,PA,0.209,0.323,Low,0.041,0.277,0.627,-76.08266,21.0
Blair County,PA,0.27,0.213,Very Low,0.013,0.162,0.633,-78.204174,15.4
Bradford County,PA,0.218,0.257,Very Low,0.006,0.234,0.689,-76.446503,20.2
Bucks County,PA,0.066,0.559,Very Low,0.063,0.387,0.624,-74.838934,20.4
Butler County,PA,0.139,0.437,Very Low,0.001,0.223,0.657,-79.896456,14.0
Cambria County,PA,0.261,0.203,Very Low,0.014,0.241,0.63,-78.717105,23.4
Cameron County,PA,0.225,0.19,Very Low,0.0,0.106,0.019,-97.581886,10.6
Carbon County,PA,0.184,0.284,Very Low,0.002,0.253,0.676,-106.811489,20.7
Centre County,PA,0.289,0.313,Very Low,0.015,0.308,0.653,-77.690776,23.8
Chester County,PA,0.059,0.657,Very Low,0.051,0.0,0.413,-88.810464,0.0
Clarion County,PA,0.318,0.166,Very Low,0.004,0.183,0.665,-79.32681,19.5
Clearfield County,PA,0.3,0.208,Low,0.008,0.209,0.655,-78.287646,20.1
Clinton County,PA,0.286,0.223,Very Low,0.001,0.141,0.67,-77.742258,13.1
Columbia County,PA,0.264,0.212,Very Low,0.013,0.204,0.762,-89.240512,19.4
Crawford County,PA,0.27,0.224,Very Low,0.002,0.137,0.746,-90.898947,12.7
